seed,condition,run_name,runtime_seconds,eval_success_mean,eval_reward_mean,final_eval_success,final_eval_reward,last20_mean_rollout_reward,last20_weighted_poi_completion,last20_goal_achieved,last20_arrival_rate,checkpoint_size_bytes
0,OFF,priority_inspection_heatmap_off_ablation_seed0,,0.0125,-502.6913542464485,0.0,-517.8168015020924,0.0511400685965782,0.3808486068388447,0.00859375,0.016796875,91718
0,REAL,priority_inspection_heatmap_real_ablation_seed0,,0.0625,-487.0701344010931,0.125,-476.69702500633923,0.04876529996545287,0.34602976544992997,0.0078125,0.01875,120346
0,ZERO,priority_inspection_heatmap_zero_ablation_seed0,,0.0625,-497.60481880274625,0.0,-591.8645068213773,0.04048709414491895,0.3207087502581999,0.0078125,0.0177734375,120346
1,OFF,priority_inspection_heatmap_off_ablation_seed1,161,0.1,-437.18260697363024,0.0,-1203.2596287512947,0.06473474039084977,0.3527275687083602,0.01015625,0.01640625,91718
1,REAL,priority_inspection_heatmap_real_ablation_seed1,166,0.125,-365.9849153584482,0.25,-237.17701144364236,-0.02483766456716694,0.34802277613780463,0.0046875,0.0205078125,120346
1,ZERO,priority_inspection_heatmap_zero_ablation_seed1,617,0.1125,-347.05952930378186,0.25,-241.4778851230588,0.086872776094242,0.40762288534315305,0.009375,0.01640625,120346
2,OFF,priority_inspection_heatmap_off_ablation_seed2,598,0.15,-320.80472364681043,0.0,-681.0153547032323,0.027394464644021354,0.4473907822801266,0.01015625,0.039453125,91718
2,REAL,priority_inspection_heatmap_real_ablation_seed2,666,0.025,-184.02182245209443,0.0,-186.34290698102427,-0.3254729969252367,0.28853524909354744,0.0,0.0421875,120346
2,ZERO,priority_inspection_heatmap_zero_ablation_seed2,161,0.0875,-309.27090334492044,0.125,-219.75810738064845,-0.05687872072157916,0.35597365225548855,0.00546875,0.016796875,120346
3,OFF,priority_inspection_heatmap_off_ablation_seed3,180,0.1,-327.2483190063881,0.125,-473.0482908026103,0.047808263679326043,0.43473897168878467,0.00859375,0.0236328125,91718
3,REAL,priority_inspection_heatmap_real_ablation_seed3,188,0.075,-272.16891015948033,0.125,-314.0258908335477,0.10197289568313864,0.41420354283764027,0.0109375,0.0234375,120346
3,ZERO,priority_inspection_heatmap_zero_ablation_seed3,167,0.0625,-304.1291595240976,0.0,-491.8422314740617,0.019045466789975762,0.4007117522356566,0.01015625,0.023828125,120346
4,OFF,priority_inspection_heatmap_off_ablation_seed4,163,0.0375,-198.09038398771597,0.0,-291.1237118797558,-0.34246336616633927,0.31405625033949036,0.00234375,0.029296875,91718
4,REAL,priority_inspection_heatmap_real_ablation_seed4,167,0.0625,-271.26509873030136,0.0,-254.4206990129607,0.015972769387008156,0.38213918801629915,0.0078125,0.0236328125,120346
4,ZERO,priority_inspection_heatmap_zero_ablation_seed4,166,0.0,-230.15334769744499,0.0,-295.7605755591766,0.0775242205723771,0.4310247125511523,0.01015625,0.0294921875,120346
