update,condition,seed0,seed1,seed2,seed3,seed4,mean,sample_std,valid_seed_count,source
1,OFF,1.2237578630447388e-06,6.918562576174736e-07,1.2944219633936882e-06,4.038214683532715e-06,5.972106009721756e-07,1.5690922737121582e-06,1.4146874321719508e-06,5,TensorBoard
2,OFF,5.555339157581329e-07,4.2445026338100433e-07,9.262003004550934e-07,2.9249349609017372e-06,2.9173679649829865e-07,1.0245712473988533e-06,1.0883756972156949e-06,5,TensorBoard
3,OFF,2.557644620537758e-07,4.84054908156395e-07,7.520429790019989e-07,1.5527475625276566e-06,2.738088369369507e-07,6.636837497353554e-07,5.359358474277937e-07,5,TensorBoard
4,OFF,1.842854544520378e-07,3.514578565955162e-07,3.6193523555994034e-07,1.5175901353359222e-06,2.5262124836444855e-07,5.33577986061573e-07,5.549438814807385e-07,5,TensorBoard
5,OFF,2.455199137330055e-07,2.4959444999694824e-07,4.895264282822609e-07,7.021008059382439e-07,1.1548399925231934e-07,3.6044511944055555e-07,2.3392959231112066e-07,5,TensorBoard
6,OFF,1.3026874512434006e-07,2.1257437765598297e-07,3.9534643292427063e-07,3.585591912269592e-08,7.264316082000732e-08,1.6933772712945937e-07,1.428661616874707e-07,5,TensorBoard
7,OFF,8.649658411741257e-08,1.4295801520347595e-07,4.3795444071292877e-07,4.0046870708465576e-08,4.563480615615845e-08,1.5061814337968826e-07,1.6581609325228448e-07,5,TensorBoard
8,OFF,8.812639862298965e-08,5.6228600442409515e-08,6.39352947473526e-07,2.012820914387703e-07,1.0558869689702988e-07,2.1811574697494506e-07,2.4160461861233247e-07,5,TensorBoard
9,OFF,2.1338928490877151e-07,2.7474015951156616e-08,6.721820682287216e-07,4.4621992856264114e-07,1.7671845853328705e-07,3.071967512369156e-07,2.532839116953817e-07,5,TensorBoard
10,OFF,3.377208486199379e-07,7.206108421087265e-08,6.416812539100647e-07,4.778848960995674e-07,1.234002411365509e-07,3.305496647953987e-07,2.388980912547814e-07,5,TensorBoard
11,OFF,3.2549723982810974e-07,8.323695510625839e-08,5.876063369214535e-07,5.459878593683243e-07,8.335337042808533e-08,3.2513635233044625e-07,2.421984413280328e-07,5,TensorBoard
12,OFF,3.9907172322273254e-07,7.241033017635345e-08,4.543690010905266e-07,7.42846168577671e-07,8.509960025548935e-08,3.507593646645546e-07,2.805594402167625e-07,5,TensorBoard
13,OFF,3.848690539598465e-07,6.682239472866058e-08,4.617031663656235e-07,4.847534000873566e-07,3.6729034036397934e-08,2.86975409835577e-07,2.1812822292820996e-07,5,TensorBoard
14,OFF,2.868473529815674e-07,5.657784640789032e-08,2.7066562324762344e-07,6.842892616987228e-07,3.364402800798416e-08,2.6640482246875764e-07,2.6137540212711537e-07,5,TensorBoard
15,OFF,2.166489139199257e-07,5.25033101439476e-08,1.9010622054338455e-07,3.5157427191734314e-07,5.168840289115906e-08,1.72504223883152e-07,1.2581866708486707e-07,5,TensorBoard
16,OFF,2.3189932107925415e-07,5.122274160385132e-08,2.3259781301021576e-07,4.320172592997551e-07,1.3201497495174408e-07,2.1595042198896408e-07,1.426505775924973e-07,5,TensorBoard
17,OFF,1.7101410776376724e-07,3.4924596548080444e-08,1.6891863197088242e-07,5.116453394293785e-07,1.1210795491933823e-07,1.9972212612628936e-07,1.8296418045560935e-07,5,TensorBoard
18,OFF,1.494772732257843e-07,4.284083843231201e-08,2.505257725715637e-07,5.410402081906796e-07,1.0826624929904938e-07,2.184300683438778e-07,1.95467113093175e-07,5,TensorBoard
19,OFF,1.5075784176588058e-07,7.799826562404633e-08,2.0617153495550156e-07,3.9872247725725174e-07,2.5494955480098724e-08,1.7182901501655579e-07,1.4432767643236888e-07,5,TensorBoard
20,OFF,1.4354009181261063e-07,1.284060999751091e-07,3.359746187925339e-07,5.809124559164047e-08,1.8044374883174896e-08,1.368112862110138e-07,1.2256057792672573e-07,5,TensorBoard
21,OFF,1.0803341865539551e-07,1.8690479919314384e-07,3.255554474890232e-07,5.2386894822120667e-08,2.3690517991781235e-08,1.393142156302929e-07,1.2129957430467722e-07,5,TensorBoard
22,OFF,1.1373776942491531e-07,7.310882210731506e-08,3.9348378777503967e-07,2.491287887096405e-08,3.975583240389824e-08,1.2899981811642646e-07,1.5174574432160966e-07,5,TensorBoard
23,OFF,6.926711648702621e-08,6.472691893577576e-08,2.5227200239896774e-07,7.788185030221939e-08,5.372567102313042e-08,1.0357471182942391e-07,8.357944773742593e-08,5,TensorBoard
24,OFF,4.093162715435028e-07,6.484333425760269e-08,3.4528784453868866e-07,3.969762474298477e-08,7.08969309926033e-08,1.8600840121507644e-07,1.7647578683459092e-07,5,TensorBoard
25,OFF,3.350432962179184e-07,2.9569491744041443e-08,2.5134067982435226e-07,3.3155083656311035e-07,5.9371814131736755e-08,2.0137522369623184e-07,1.4747166546712545e-07,5,TensorBoard
26,OFF,2.618180587887764e-07,5.005858838558197e-08,3.2223761081695557e-07,1.1797528713941574e-06,7.869675755500793e-08,3.7851277738809587e-07,4.627477822708284e-07,5,TensorBoard
27,OFF,1.2136297300457954e-07,1.3969838619232178e-07,2.4586915969848633e-07,1.4718389138579369e-06,8.498318493366241e-08,4.127505235373974e-07,5.950657969246114e-07,5,TensorBoard
28,OFF,1.4493707567453384e-07,2.210726961493492e-07,1.484295353293419e-07,2.61794775724411e-06,1.050066202878952e-07,6.474787369370461e-07,1.1023207899565468e-06,5,TensorBoard
29,OFF,1.701992005109787e-07,2.1979212760925293e-07,1.6367994248867035e-07,7.350463420152664e-07,1.3725366443395615e-07,2.8519425541162493e-07,2.532391890576428e-07,5,TensorBoard
30,OFF,2.578599378466606e-07,1.9685830920934677e-07,4.133908078074455e-07,1.6170088201761246e-07,1.9767321646213531e-07,2.4549663066864016e-07,1.0001974659314198e-07,5,TensorBoard
31,OFF,2.521555870771408e-07,1.9709113985300064e-07,2.1979212760925293e-07,1.300359144806862e-07,2.314336597919464e-07,2.061016857624054e-07,4.695021413894444e-08,5,TensorBoard
32,OFF,2.3446045815944672e-07,1.5052501112222672e-07,3.0512455850839615e-07,2.210610546171665e-06,3.9779115468263626e-07,6.597023457288742e-07,8.717412670062812e-07,5,TensorBoard
33,OFF,1.9615981727838516e-07,1.8114224076271057e-07,1.1078082025051117e-06,3.644963726401329e-06,3.6926940083503723e-07,1.0998686775565147e-06,1.4724210604193506e-06,5,TensorBoard
34,OFF,2.169981598854065e-07,1.8079299479722977e-07,1.0533258318901062e-06,6.302492693066597e-06,4.650792106986046e-07,1.6437377780675888e-06,2.6276231188869823e-06,5,TensorBoard
35,OFF,2.3760367184877396e-07,2.4796463549137115e-07,9.451759979128838e-07,5.946611054241657e-06,3.3318065106868744e-07,1.5421072021126748e-06,2.4796178584107336e-06,5,TensorBoard
36,OFF,2.882443368434906e-07,2.5366898626089096e-07,8.690403774380684e-07,8.26444011181593e-06,4.797475412487984e-07,2.0310282707214357e-06,3.4931508989989435e-06,5,TensorBoard
