update,condition,seed0,seed1,seed2,seed3,seed4,mean,sample_std,valid_seed_count,source
1,OFF,0.03515625,0.0625,0.0390625,0.06640625,0.0078125,0.0421875,0.02366426754822025,5,CSV
2,OFF,0.01171875,0.01171875,0.01953125,0.0,0.01171875,0.0109375,0.006987712429686843,5,CSV
3,OFF,0.07421875,0.02734375,0.04296875,0.05078125,0.03125,0.0453125,0.018652088103614566,5,CSV
4,OFF,0.03125,0.015625,0.015625,0.04296875,0.015625,0.02421875,0.012475562048961964,5,CSV
5,OFF,0.046875,0.02734375,0.04296875,0.078125,0.06640625,0.05234375,0.020032627195247007,5,CSV
6,OFF,0.0,0.0078125,0.0078125,0.0234375,0.03125,0.0140625,0.012837247441527332,5,CSV
7,OFF,0.015625,0.015625,0.0234375,0.04296875,0.046875,0.02890625,0.015027643798180739,5,CSV
8,OFF,0.0078125,0.0234375,0.0234375,0.01953125,0.0234375,0.01953125,0.0067658234670659265,5,CSV
9,OFF,0.04296875,0.05859375,0.02734375,0.05859375,0.0390625,0.0453125,0.013418409404154428,5,CSV
10,OFF,0.0390625,0.0,0.0078125,0.046875,0.05078125,0.02890625,0.02337230515883061,5,CSV
11,OFF,0.08984375,0.046875,0.0234375,0.05859375,0.03125,0.05,0.026116429141323092,5,CSV
12,OFF,0.02734375,0.01953125,0.01953125,0.02734375,0.02734375,0.02421875,0.00427908248050911,5,CSV
13,OFF,0.08984375,0.0078125,0.0703125,0.03515625,0.0234375,0.0453125,0.03389670804674475,5,CSV
14,OFF,0.0390625,0.0390625,0.0078125,0.0078125,0.0234375,0.0234375,0.015625,5,CSV
15,OFF,0.09375,0.046875,0.046875,0.0625,0.01953125,0.05390625,0.027119617121421535,5,CSV
16,OFF,0.015625,0.0390625,0.03515625,0.02734375,0.0,0.0234375,0.01586726250905461,5,CSV
17,OFF,0.05078125,0.03125,0.046875,0.015625,0.05078125,0.0390625,0.015378921628929319,5,CSV
18,OFF,0.046875,0.03125,0.0078125,0.0234375,0.01953125,0.02578125,0.014511074703911492,5,CSV
19,OFF,0.015625,0.05078125,0.046875,0.06640625,0.05078125,0.04609375,0.018611139452455617,5,CSV
20,OFF,0.015625,0.03515625,0.01953125,0.03125,0.01171875,0.02265625,0.010111077426206863,5,CSV
21,OFF,0.04296875,0.01953125,0.05078125,0.0546875,0.02734375,0.0390625,0.015128841196122723,5,CSV
22,OFF,0.01171875,0.01953125,0.01953125,0.0078125,0.0078125,0.01328125,0.005924121440665274,5,CSV
23,OFF,0.0078125,0.0390625,0.0703125,0.03125,0.0390625,0.0375,0.022371595411369304,5,CSV
24,OFF,0.03125,0.01171875,0.00390625,0.0390625,0.015625,0.0203125,0.014458402752595115,5,CSV
25,OFF,0.046875,0.015625,0.02734375,0.01953125,0.03125,0.028125,0.012165946486247999,5,CSV
26,OFF,0.00390625,0.01171875,0.015625,0.04296875,0.015625,0.01796875,0.014771617500928936,5,CSV
27,OFF,0.0234375,0.01953125,0.0234375,0.0390625,0.04296875,0.0296875,0.010554106317270544,5,CSV
28,OFF,0.06640625,0.00390625,0.0078125,0.05078125,0.00390625,0.0265625,0.02980036112931352,5,CSV
29,OFF,0.01953125,0.046875,0.04296875,0.01953125,0.05078125,0.0359375,0.015229366163764005,5,CSV
30,OFF,0.0078125,0.015625,0.05078125,0.00390625,0.015625,0.01875,0.018611139452455617,5,CSV
31,OFF,0.05078125,0.01953125,0.0078125,0.01953125,0.0234375,0.02421875,0.015963138079455118,5,CSV
32,OFF,0.015625,0.0234375,0.015625,0.03125,0.03125,0.0234375,0.0078125,5,CSV
33,OFF,0.06640625,0.01171875,0.0078125,0.0390625,0.0546875,0.0359375,0.025822646689122517,5,CSV
34,OFF,0.03125,0.01953125,0.02734375,0.046875,0.015625,0.028125,0.012165946486247997,5,CSV
35,OFF,0.00390625,0.08203125,0.01953125,0.04296875,0.0078125,0.03125,0.03221176270013797,5,CSV
36,OFF,0.03125,0.0234375,0.03125,0.01953125,0.00390625,0.021875,0.011253797102256198,5,CSV
37,OFF,0.02734375,0.046875,0.05078125,0.03125,0.06640625,0.04453125,0.015770804092333085,5,CSV
38,OFF,0.01953125,0.0,0.015625,0.03515625,0.0078125,0.015625,0.01324673824829154,5,CSV
39,OFF,0.0234375,0.07421875,0.03125,0.046875,0.02734375,0.040625,0.020780368872297478,5,CSV
40,OFF,0.01171875,0.03125,0.0,0.0234375,0.0078125,0.01484375,0.012475562048961964,5,CSV
41,OFF,0.05859375,0.03515625,0.0,0.0234375,0.03515625,0.03046875,0.021288166552247988,5,CSV
42,OFF,0.015625,0.05078125,0.0625,0.0078125,0.015625,0.03046875,0.02445699350390395,5,CSV
43,OFF,0.05859375,0.0546875,0.03515625,0.0390625,0.05859375,0.04921875,0.011253797102256198,5,CSV
44,OFF,0.01171875,0.015625,0.0078125,0.015625,0.0,0.01015625,0.006536406457297465,5,CSV
45,OFF,0.03125,0.01171875,0.0546875,0.01953125,0.0625,0.0359375,0.021993262906655073,5,CSV
46,OFF,0.0390625,0.01171875,0.06640625,0.015625,0.0390625,0.034375,0.021993262906655073,5,CSV
47,OFF,0.03125,0.0234375,0.01171875,0.0390625,0.04296875,0.0296875,0.012536567606157198,5,CSV
48,OFF,0.01953125,0.0,0.01171875,0.0078125,0.03125,0.0140625,0.011912461470294459,5,CSV
49,OFF,0.03125,0.0625,0.03125,0.04296875,0.05078125,0.04375,0.013361430762880523,5,CSV
50,OFF,0.01171875,0.015625,0.0,0.0078125,0.0,0.00703125,0.006987712429686843,5,CSV
51,OFF,0.0390625,0.03515625,0.0078125,0.0234375,0.03515625,0.028125,0.012777677526403224,5,CSV
52,OFF,0.0078125,0.0,0.0546875,0.03125,0.015625,0.021875,0.021678807696111888,5,CSV
53,OFF,0.0078125,0.0390625,0.0078125,0.0234375,0.03515625,0.02265625,0.014719877876106853,5,CSV
54,OFF,0.02734375,0.0078125,0.0234375,0.015625,0.0234375,0.01953125,0.0078125,5,CSV
55,OFF,0.0546875,0.0234375,0.015625,0.02734375,0.02734375,0.0296875,0.014771617500928936,5,CSV
56,OFF,0.00390625,0.0,0.0,0.0,0.00390625,0.0015625,0.0021395412402545554,5,CSV
57,OFF,0.0390625,0.02734375,0.03125,0.0078125,0.04296875,0.0296875,0.01369974837246108,5,CSV
58,OFF,0.01953125,0.0,0.015625,0.01171875,0.046875,0.01875,0.01733776642279074,5,CSV
59,OFF,0.0390625,0.0390625,0.0390625,0.02734375,0.0390625,0.03671875,0.005240784322265132,5,CSV
60,OFF,0.0390625,0.0078125,0.0078125,0.01953125,0.0234375,0.01953125,0.01295556558732578,5,CSV
61,OFF,0.0234375,0.046875,0.0,0.0078125,0.0234375,0.0203125,0.01798572567690834,5,CSV
62,OFF,0.01953125,0.015625,0.0234375,0.03125,0.015625,0.02109375,0.006536406457297465,5,CSV
63,OFF,0.01953125,0.04296875,0.015625,0.01953125,0.01953125,0.0234375,0.011048543456039806,5,CSV
64,OFF,0.015625,0.03125,0.015625,0.0078125,0.03515625,0.02109375,0.011587810136086974,5,CSV
65,OFF,0.02734375,0.0234375,0.0234375,0.03125,0.01953125,0.025,0.004453810254293508,5,CSV
66,OFF,0.0078125,0.01953125,0.0234375,0.03125,0.03125,0.02265625,0.009726484060928697,5,CSV
67,OFF,0.0,0.0234375,0.0234375,0.015625,0.0,0.0125,0.011848242881330549,5,CSV
68,OFF,0.0,0.0,0.01171875,0.02734375,0.0234375,0.0125,0.012777677526403223,5,CSV
69,OFF,0.01953125,0.02734375,0.0,0.01953125,0.046875,0.02265625,0.01689199086753098,5,CSV
70,OFF,0.0234375,0.0,0.01953125,0.01953125,0.02734375,0.01796875,0.010554106317270544,5,CSV
71,OFF,0.0234375,0.04296875,0.015625,0.01171875,0.0234375,0.0234375,0.012039871099548781,5,CSV
72,OFF,0.0078125,0.0078125,0.02734375,0.015625,0.01171875,0.0140625,0.00810017240364364,5,CSV
73,OFF,0.03515625,0.02734375,0.02734375,0.015625,0.0078125,0.02265625,0.010839403848055944,5,CSV
74,OFF,0.01953125,0.015625,0.015625,0.01171875,0.0,0.0125,0.007513821899090369,5,CSV
75,OFF,0.01953125,0.03515625,0.0,0.015625,0.0390625,0.021875,0.015770804092333085,5,CSV
76,OFF,0.0234375,0.0078125,0.03125,0.02734375,0.0234375,0.02265625,0.008907620508587016,5,CSV
77,OFF,0.0390625,0.015625,0.046875,0.015625,0.03515625,0.03046875,0.014192111034831992,5,CSV
78,OFF,0.0078125,0.01953125,0.015625,0.05078125,0.05078125,0.02890625,0.020409922621270518,5,CSV
79,OFF,0.03125,0.01953125,0.03515625,0.015625,0.0234375,0.025,0.00810017240364364,5,CSV
80,OFF,0.01171875,0.01953125,0.0234375,0.00390625,0.0625,0.02421875,0.02267644574015624,5,CSV
81,OFF,0.046875,0.0,0.03125,0.0390625,0.0078125,0.025,0.020222154852413726,5,CSV
82,OFF,0.0390625,0.015625,0.02734375,0.0390625,0.0078125,0.02578125,0.013975424859373685,5,CSV
83,OFF,0.0078125,0.01171875,0.0546875,0.0234375,0.01953125,0.0234375,0.018528970665049098,5,CSV
84,OFF,0.0234375,0.046875,0.01953125,0.0390625,0.03125,0.03203125,0.01118579770568465,5,CSV
85,OFF,0.02734375,0.015625,0.0078125,0.02734375,0.0078125,0.0171875,0.009804609685946198,5,CSV
86,OFF,0.0390625,0.0234375,0.01171875,0.00390625,0.015625,0.01875,0.013361430762880523,5,CSV
87,OFF,0.015625,0.015625,0.0,0.0546875,0.01953125,0.02109375,0.020222154852413726,5,CSV
88,OFF,0.02734375,0.00390625,0.0,0.01171875,0.05859375,0.0203125,0.023824922940588918,5,CSV
89,OFF,0.00390625,0.03125,0.01171875,0.03125,0.0,0.015625,0.014874556847390447,5,CSV
90,OFF,0.0078125,0.0,0.0078125,0.01953125,0.0390625,0.01484375,0.015229366163764007,5,CSV
91,OFF,0.015625,0.01953125,0.01953125,0.0,0.05859375,0.02265625,0.021643586214367294,5,CSV
92,OFF,0.03125,0.0,0.02734375,0.015625,0.0390625,0.02265625,0.015229366163764007,5,CSV
93,OFF,0.0078125,0.03125,0.03125,0.0,0.0234375,0.01875,0.014192111034831992,5,CSV
94,OFF,0.05859375,0.0078125,0.015625,0.03515625,0.0078125,0.025,0.02185406364171776,5,CSV
95,OFF,0.02734375,0.02734375,0.0078125,0.01953125,0.0,0.01640625,0.012165946486247997,5,CSV
96,OFF,0.0078125,0.0625,0.01953125,0.015625,0.01953125,0.025,0.02150212335081701,5,CSV
97,OFF,0.00390625,0.0078125,0.015625,0.04296875,0.0390625,0.021875,0.018028094936272384,5,CSV
98,OFF,0.05859375,0.0390625,0.0078125,0.03125,0.01171875,0.0296875,0.020780368872297478,5,CSV
99,OFF,0.0,0.015625,0.0078125,0.015625,0.05859375,0.01953125,0.022777155839239456,5,CSV
100,OFF,0.03125,0.01953125,0.03125,0.0,0.02734375,0.021875,0.013131043995290321,5,CSV
101,OFF,0.01953125,0.04296875,0.0,0.03125,0.0546875,0.0296875,0.02114432594175681,5,CSV
102,OFF,0.01953125,0.015625,0.0,0.0234375,0.05078125,0.021875,0.01844643586424624,5,CSV
103,OFF,0.0078125,0.0,0.03125,0.0078125,0.0390625,0.0171875,0.016937096397405312,5,CSV
104,OFF,0.046875,0.0078125,0.0078125,0.0078125,0.05078125,0.02421875,0.022507594204512395,5,CSV
105,OFF,0.01171875,0.015625,0.0,0.00390625,0.0625,0.01875,0.025224819204629594,5,CSV
106,OFF,0.01171875,0.0078125,0.0390625,0.046875,0.05859375,0.0328125,0.02220042537247316,5,CSV
107,OFF,0.015625,0.0390625,0.0,0.03125,0.046875,0.0265625,0.018814991529362963,5,CSV
108,OFF,0.0234375,0.015625,0.0703125,0.01953125,0.03515625,0.0328125,0.02220042537247316,5,CSV
109,OFF,0.0078125,0.015625,0.01171875,0.0234375,0.03515625,0.01875,0.010839403848055944,5,CSV
110,OFF,0.03125,0.03125,0.03515625,0.0234375,0.07421875,0.0390625,0.020108652619115236,5,CSV
