update,condition,seed0,seed1,seed2,seed3,seed4,mean,sample_std,valid_seed_count,source
1,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
2,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
3,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
4,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
5,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
6,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
7,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
8,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
9,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
10,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
11,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
12,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
13,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
14,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
15,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
16,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
17,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
18,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
19,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
20,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
21,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
22,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
23,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
24,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
25,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
26,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
27,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
28,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
29,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
30,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
31,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
32,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
33,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
34,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
35,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
36,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
37,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
38,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
39,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
40,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
41,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
42,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
43,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
44,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
45,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
46,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
47,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
48,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
49,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
50,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
51,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
52,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
53,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
54,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
55,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
56,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
57,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
58,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
59,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
60,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
61,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
62,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
63,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
64,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
65,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
66,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
67,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
68,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
69,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
70,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
71,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
72,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
73,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
74,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
75,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
76,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
77,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
78,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
79,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
80,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
81,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
82,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
83,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
84,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
85,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
86,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
87,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
88,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
89,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
90,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
91,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
92,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
93,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
94,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
95,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
96,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
97,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
98,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
99,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
100,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
101,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
102,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
103,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
104,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
105,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
106,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
107,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
108,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
109,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
110,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
111,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
112,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
113,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
114,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
115,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
116,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
117,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
118,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
119,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
120,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
121,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
122,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
123,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
124,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
125,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
126,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
127,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
128,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
129,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
130,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
131,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
132,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
133,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
134,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
135,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
136,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
137,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
138,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
139,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
140,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
141,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
142,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
143,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
144,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
145,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
146,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
147,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
148,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
149,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
150,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
151,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
152,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
153,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
154,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
155,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
156,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
157,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
158,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
159,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
160,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
161,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
162,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
163,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
164,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
165,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
166,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
167,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
168,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
169,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
170,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
171,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
172,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
173,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
174,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
175,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
176,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
177,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
178,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
179,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
180,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
181,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
182,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
183,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
184,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
185,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
186,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
187,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
188,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
189,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
190,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
191,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
192,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
193,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
194,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
195,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
196,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
197,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
198,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
199,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
200,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
1,REAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
2,REAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
3,REAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
4,REAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
5,REAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
6,REAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
7,REAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
8,REAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
9,REAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
10,REAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
11,REAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
12,REAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
13,REAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
14,REAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
15,REAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
16,REAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
17,REAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
18,REAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
19,REAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
20,REAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
21,REAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
22,REAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
23,REAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
24,REAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
25,REAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
26,REAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
27,REAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
28,REAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
29,REAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
30,REAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
31,REAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
32,REAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
33,REAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
34,REAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
35,REAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
36,REAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
37,REAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
38,REAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
39,REAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
40,REAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
41,REAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
42,REAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
43,REAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
