condition,seed,x,y,source
OFF,0,-517.8167724609375,0.0,TensorBoard
OFF,1,-1203.2596435546875,0.0,TensorBoard
OFF,2,-681.015380859375,0.0,TensorBoard
OFF,3,-473.04827880859375,0.125,TensorBoard
OFF,4,-291.12371826171875,0.0,TensorBoard
REAL,0,-476.697021484375,0.125,TensorBoard
REAL,1,-237.17701721191406,0.25,TensorBoard
REAL,2,-186.34291076660156,0.0,TensorBoard
REAL,3,-314.02587890625,0.125,TensorBoard
REAL,4,-254.4207000732422,0.0,TensorBoard
ZERO,0,-591.864501953125,0.0,TensorBoard
ZERO,1,-241.47789001464844,0.25,TensorBoard
ZERO,2,-219.7581024169922,0.125,TensorBoard
ZERO,3,-491.84222412109375,0.0,TensorBoard
ZERO,4,-295.7605895996094,0.0,TensorBoard
