condition,seed,x,y,source
OFF,0,-2.937675453722477e-05,26.352853065729143,TensorBoard
OFF,1,-2.3497319780290127e-05,29.73285377264023,TensorBoard
OFF,2,-3.613895969465375e-05,26.066874635219573,TensorBoard
OFF,3,-2.3843845119699837e-05,26.565736166238786,TensorBoard
OFF,4,-5.2903098985552785e-05,38.489262169599535,TensorBoard
REAL,0,-3.3178705489262936e-05,24.572434551119805,TensorBoard
REAL,1,-3.412107937037945e-05,30.352571772933008,TensorBoard
REAL,2,-2.432359615340829e-05,18.004355118274688,TensorBoard
REAL,3,-4.254750907421112e-05,27.980012460947037,TensorBoard
REAL,4,-5.2213419694453476e-05,25.639467136859892,TensorBoard
ZERO,0,-1.806358341127634e-05,28.20835182309151,TensorBoard
ZERO,1,-3.2708935905247926e-05,28.469604153633117,TensorBoard
ZERO,2,-5.243385210633278e-05,26.31021198272705,TensorBoard
ZERO,3,-4.036754369735718e-05,27.684748659133913,TensorBoard
ZERO,4,-3.718493273481727e-05,28.308456704616546,TensorBoard
