update,condition,seed0,seed1,seed2,seed3,seed4,mean,sample_std,valid_seed_count,source
20,OFF,-41.447898864746094,-229.7011260986328,-287.8119812011719,-0.4440925419330597,-112.98887634277344,-134.47879500985147,122.12721239869725,5,TensorBoard
40,OFF,-480.3897705078125,-77.6659927368164,-287.2499084472656,-18.688894271850586,-70.13758087158203,-186.82642936706543,193.6923007044247,5,TensorBoard
60,OFF,-258.30950927734375,-185.1624298095703,-207.1750946044922,-231.0348663330078,-172.5970001220703,-210.85578002929688,34.62831888172977,5,TensorBoard
80,OFF,-186.69979858398438,-226.05563354492188,-185.60923767089844,-389.5733337402344,-182.45199584960938,-234.0779998779297,88.7444595090224,5,TensorBoard
100,OFF,-815.0221557617188,-762.9353637695312,-202.17254638671875,-497.8482360839844,-362.7024841308594,-528.1361572265625,260.75475906565225,5,TensorBoard
120,OFF,-595.6248779296875,-511.1571350097656,-222.7410430908203,-454.7987060546875,-201.2805938720703,-397.12047119140624,176.42036550482368,5,TensorBoard
140,OFF,-612.35888671875,-728.1788940429688,-226.872802734375,-362.1213684082031,-244.77325439453125,-434.8610412597656,224.84682674584283,5,TensorBoard
160,OFF,-781.971435546875,-209.8804168701172,-221.7829132080078,-354.4092712402344,-174.16217041015625,-348.4412414550781,251.79290865564278,5,TensorBoard
180,OFF,-737.2725219726562,-237.8294677734375,-685.6163940429688,-490.51611328125,-168.68618774414062,-463.9841369628906,256.3484726578277,5,TensorBoard
200,OFF,-517.8167724609375,-1203.2596435546875,-681.015380859375,-473.04827880859375,-291.12371826171875,-633.2527587890625,347.57457453932255,5,TensorBoard
20,REAL,-12.633441925048828,-400.9588317871094,-99.77873992919922,-96.84976959228516,-1.362186074256897,-122.31659386157989,162.37177505365736,5,TensorBoard
40,REAL,-345.9570007324219,-129.9147186279297,-61.46782302856445,-115.41517639160156,-167.8972930908203,-164.1304023742676,108.58014642517806,5,TensorBoard
60,REAL,-776.6072998046875,-305.99658203125,-60.854244232177734,-5.108513832092285,-213.06858825683594,-272.3270456314087,306.2149027519243,5,TensorBoard
80,REAL,-584.2364501953125,-55.58885192871094,-149.6211395263672,-183.2401885986328,-492.0720520019531,-292.9517364501953,230.9854471724856,5,TensorBoard
100,REAL,-643.7421875,-422.163818359375,-134.22145080566406,-240.54928588867188,-476.883544921875,-383.5120574951172,200.32228688637184,5,TensorBoard
120,REAL,-507.4195556640625,-166.44544982910156,-239.6592254638672,-539.540771484375,-206.571044921875,-331.9272094726563,177.1388694934105,5,TensorBoard
140,REAL,-474.0972900390625,-160.4874725341797,-292.6168212890625,-675.756591796875,-298.7944030761719,-380.3505157470703,199.2119260268882,5,TensorBoard
160,REAL,-501.9093017578125,-799.8845825195312,-322.80126953125,-263.6604919433594,-292.2614440917969,-436.10341796875,223.568559422357,5,TensorBoard
180,REAL,-547.4017944335938,-981.2318115234375,-292.8545837402344,-287.5424499511719,-309.3197021484375,-483.670068359375,298.7072409733563,5,TensorBoard
200,REAL,-476.697021484375,-237.17701721191406,-186.34291076660156,-314.02587890625,-254.4207000732422,-293.7327056884766,111.98694284582955,5,TensorBoard
20,ZERO,-12.683709144592285,-399.8091735839844,-94.22648620605469,-105.29832458496094,-1.061064600944519,-122.61575162410736,161.86617369688162,5,TensorBoard
40,ZERO,-93.04055786132812,-140.61614990234375,-82.4577865600586,-144.5787353515625,-92.4964828491211,-110.63794250488282,29.51089642672627,5,TensorBoard
60,ZERO,-543.26806640625,-332.0610046386719,-253.50216674804688,-54.1626091003418,-248.5623016357422,-286.31122970581055,176.4328881367724,5,TensorBoard
80,ZERO,-533.536865234375,-480.3575134277344,-625.3468627929688,-213.66859436035156,-288.8096008300781,-428.34388732910156,171.85491756284935,5,TensorBoard
100,ZERO,-547.8478393554688,-190.47169494628906,-386.6383056640625,-468.8648681640625,-254.52622985839844,-369.66978759765624,147.68632980145563,5,TensorBoard
120,ZERO,-477.43377685546875,-992.2384643554688,-480.5431213378906,-705.6632690429688,-274.76788330078125,-586.1293029785156,273.46028633685427,5,TensorBoard
140,ZERO,-1065.4359130859375,-229.3293914794922,-416.1382751464844,-339.6356201171875,-284.87261962890625,-467.0823638916016,341.5376294441435,5,TensorBoard
160,ZERO,-533.7630004882812,-199.58082580566406,-272.1156005859375,-286.9101867675781,-248.6072998046875,-308.1953826904297,130.3681537324698,5,TensorBoard
180,ZERO,-577.1739501953125,-264.6532287597656,-261.9822692871094,-230.6671600341797,-312.06939697265625,-329.3092010498047,141.57834179585976,5,TensorBoard
200,ZERO,-591.864501953125,-241.47789001464844,-219.7581024169922,-491.84222412109375,-295.7605895996094,-368.1406616210937,164.81364454337066,5,TensorBoard
