update,condition,seed0,seed1,seed2,seed3,seed4,mean,sample_std,valid_seed_count,source
20,OFF,0.125,0.0,0.0,0.0,0.0,0.025,0.055901699437494755,5,TensorBoard
40,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
60,OFF,0.0,0.25,0.25,0.125,0.125,0.15,0.10458250331675945,5,TensorBoard
80,OFF,0.0,0.125,0.25,0.125,0.0,0.1,0.10458250331675945,5,TensorBoard
100,OFF,0.0,0.0,0.25,0.125,0.0,0.075,0.11180339887498948,5,TensorBoard
120,OFF,0.0,0.0,0.25,0.125,0.0,0.075,0.11180339887498948,5,TensorBoard
140,OFF,0.0,0.125,0.25,0.125,0.0,0.1,0.10458250331675945,5,TensorBoard
160,OFF,0.0,0.25,0.25,0.125,0.125,0.15,0.10458250331675945,5,TensorBoard
180,OFF,0.0,0.25,0.0,0.125,0.125,0.1,0.10458250331675945,5,TensorBoard
200,OFF,0.0,0.0,0.0,0.125,0.0,0.025,0.05590169943749475,5,TensorBoard
20,REAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
40,REAL,0.125,0.0,0.0,0.0,0.125,0.05,0.06846531968814577,5,TensorBoard
60,REAL,0.0,0.0,0.25,0.0,0.125,0.075,0.11180339887498948,5,TensorBoard
80,REAL,0.0,0.25,0.0,0.0,0.125,0.075,0.11180339887498948,5,TensorBoard
100,REAL,0.0,0.125,0.0,0.125,0.125,0.075,0.06846531968814577,5,TensorBoard
120,REAL,0.0,0.25,0.0,0.125,0.125,0.1,0.10458250331675945,5,TensorBoard
140,REAL,0.125,0.25,0.0,0.125,0.0,0.1,0.10458250331675945,5,TensorBoard
160,REAL,0.125,0.125,0.0,0.125,0.0,0.075,0.06846531968814577,5,TensorBoard
180,REAL,0.125,0.0,0.0,0.125,0.0,0.05,0.06846531968814577,5,TensorBoard
200,REAL,0.125,0.25,0.0,0.125,0.0,0.1,0.10458250331675945,5,TensorBoard
20,ZERO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,TensorBoard
40,ZERO,0.125,0.0,0.0,0.0,0.0,0.025,0.055901699437494755,5,TensorBoard
60,ZERO,0.125,0.0,0.25,0.0,0.0,0.075,0.11180339887498947,5,TensorBoard
80,ZERO,0.125,0.0,0.0,0.0,0.0,0.025,0.055901699437494755,5,TensorBoard
100,ZERO,0.125,0.25,0.125,0.125,0.0,0.125,0.08838834764831845,5,TensorBoard
120,ZERO,0.125,0.0,0.125,0.125,0.0,0.075,0.06846531968814577,5,TensorBoard
140,ZERO,0.0,0.125,0.125,0.125,0.0,0.075,0.06846531968814577,5,TensorBoard
160,ZERO,0.0,0.25,0.0,0.125,0.0,0.075,0.11180339887498948,5,TensorBoard
180,ZERO,0.0,0.25,0.125,0.125,0.0,0.1,0.10458250331675945,5,TensorBoard
200,ZERO,0.0,0.25,0.125,0.0,0.0,0.075,0.11180339887498948,5,TensorBoard
