condition,seed,value,source
OFF,0,-517.8167724609375,TensorBoard
OFF,1,-1203.2596435546875,TensorBoard
OFF,2,-681.015380859375,TensorBoard
OFF,3,-473.04827880859375,TensorBoard
OFF,4,-291.12371826171875,TensorBoard
REAL,0,-476.697021484375,TensorBoard
REAL,1,-237.17701721191406,TensorBoard
REAL,2,-186.34291076660156,TensorBoard
REAL,3,-314.02587890625,TensorBoard
REAL,4,-254.4207000732422,TensorBoard
ZERO,0,-591.864501953125,TensorBoard
ZERO,1,-241.47789001464844,TensorBoard
ZERO,2,-219.7581024169922,TensorBoard
ZERO,3,-491.84222412109375,TensorBoard
ZERO,4,-295.7605895996094,TensorBoard
