update,condition,seed0,seed1,seed2,seed3,seed4,mean,sample_std,valid_seed_count,source
1,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
2,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
3,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
4,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
5,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
6,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
7,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
8,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
9,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
10,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
11,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
12,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
13,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
14,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
15,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
16,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
17,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
18,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
19,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
20,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
21,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
22,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
23,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
24,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
25,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
26,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
27,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
28,OFF,0.0,0.015625,0.0,0.0,0.0,0.003125,0.006987712429686844,5,CSV
29,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
30,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
31,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
32,OFF,0.0,0.0,0.015625,0.0,0.0,0.003125,0.006987712429686844,5,CSV
33,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
34,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
35,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
36,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
37,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
38,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
39,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
40,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
41,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
42,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
43,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
44,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
45,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
46,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
47,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
48,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
49,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
50,OFF,0.0,0.0,0.0,0.015625,0.0,0.003125,0.0069877124296868435,5,CSV
51,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
52,OFF,0.0,0.0,0.0,0.015625,0.0,0.003125,0.0069877124296868435,5,CSV
53,OFF,0.0,0.0,0.0,0.015625,0.0,0.003125,0.0069877124296868435,5,CSV
54,OFF,0.0,0.0,0.015625,0.015625,0.0,0.00625,0.008558164961018222,5,CSV
55,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
56,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
57,OFF,0.0,0.0,0.015625,0.0,0.0,0.003125,0.006987712429686844,5,CSV
58,OFF,0.0,0.0,0.0,0.03125,0.015625,0.009375,0.013975424859373685,5,CSV
59,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
60,OFF,0.0,0.0,0.0,0.015625,0.0,0.003125,0.0069877124296868435,5,CSV
61,OFF,0.0,0.0,0.015625,0.0,0.0,0.003125,0.006987712429686844,5,CSV
62,OFF,0.0,0.015625,0.0,0.0,0.0,0.003125,0.006987712429686844,5,CSV
63,OFF,0.0,0.0,0.0,0.015625,0.0,0.003125,0.0069877124296868435,5,CSV
64,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
65,OFF,0.0,0.0,0.015625,0.0,0.0,0.003125,0.006987712429686844,5,CSV
66,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
67,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
68,OFF,0.0,0.0,0.0,0.015625,0.0,0.003125,0.0069877124296868435,5,CSV
69,OFF,0.0,0.0,0.015625,0.0,0.0,0.003125,0.006987712429686844,5,CSV
70,OFF,0.0,0.0,0.03125,0.0,0.0,0.00625,0.013975424859373689,5,CSV
71,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
72,OFF,0.0,0.0,0.015625,0.015625,0.0,0.00625,0.008558164961018222,5,CSV
73,OFF,0.0,0.0,0.015625,0.015625,0.0,0.00625,0.008558164961018222,5,CSV
74,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
75,OFF,0.0,0.0,0.015625,0.0,0.0,0.003125,0.006987712429686844,5,CSV
76,OFF,0.0,0.0,0.015625,0.015625,0.0,0.00625,0.008558164961018222,5,CSV
77,OFF,0.0,0.0,0.015625,0.0,0.0,0.003125,0.006987712429686844,5,CSV
78,OFF,0.015625,0.015625,0.0,0.0,0.015625,0.009375,0.008558164961018222,5,CSV
79,OFF,0.0,0.0,0.0,0.015625,0.0,0.003125,0.0069877124296868435,5,CSV
80,OFF,0.0,0.0,0.015625,0.015625,0.0,0.00625,0.008558164961018222,5,CSV
81,OFF,0.0,0.0,0.015625,0.0,0.0,0.003125,0.006987712429686844,5,CSV
82,OFF,0.0,0.0,0.0,0.015625,0.0,0.003125,0.0069877124296868435,5,CSV
83,OFF,0.015625,0.0,0.0,0.0,0.0,0.003125,0.006987712429686844,5,CSV
84,OFF,0.0,0.0,0.03125,0.0,0.0,0.00625,0.013975424859373689,5,CSV
85,OFF,0.0,0.0,0.015625,0.015625,0.0,0.00625,0.008558164961018222,5,CSV
86,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
87,OFF,0.015625,0.0,0.015625,0.0,0.0,0.00625,0.008558164961018222,5,CSV
88,OFF,0.0,0.0,0.03125,0.015625,0.0,0.009375,0.013975424859373685,5,CSV
89,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
90,OFF,0.0,0.0,0.0,0.015625,0.015625,0.00625,0.008558164961018222,5,CSV
91,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
92,OFF,0.015625,0.0,0.015625,0.0,0.0,0.00625,0.008558164961018222,5,CSV
93,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
94,OFF,0.015625,0.015625,0.0,0.0,0.0,0.00625,0.008558164961018222,5,CSV
95,OFF,0.015625,0.0,0.0,0.0,0.015625,0.00625,0.008558164961018222,5,CSV
96,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CSV
97,OFF,0.015625,0.015625,0.015625,0.03125,0.0,0.015625,0.011048543456039806,5,CSV
