update,condition,seed0,seed1,seed2,seed3,seed4,mean,sample_std,valid_seed_count,source
1,OFF,-0.00019593816250562668,-6.471574306488037e-05,-0.00014765653759241104,-0.00028472859412431717,-6.4874067902565e-05,-0.00015158262103796006,9.324015499618148e-05,5,TensorBoard
2,OFF,4.5634806156158447e-07,-4.179961979389191e-05,-0.00010899081826210022,-6.021186709403992e-05,-4.806835204362869e-05,-5.172286182641983e-05,3.932613050973656e-05,5,TensorBoard
3,OFF,-1.9511207938194275e-05,-8.793454617261887e-05,-9.889714419841766e-05,-7.61253759264946e-05,-3.223679959774017e-05,-6.294101476669311e-05,3.507222613886981e-05,5,TensorBoard
4,OFF,-1.6480684280395508e-05,-1.0081566870212555e-05,5.989335477352142e-06,-5.3116120398044586e-05,2.135336399078369e-05,-1.0467134416103363e-05,2.8011635840340974e-05,5,TensorBoard
5,OFF,-4.0102750062942505e-06,-2.6267021894454956e-05,-9.347265586256981e-05,2.4335458874702454e-05,-1.1883676052093506e-06,-2.0120572298765182e-05,4.475660779954886e-05,5,TensorBoard
6,OFF,4.861503839492798e-06,-1.92420557141304e-05,-2.081785351037979e-05,-1.8382444977760315e-05,5.492940545082092e-06,-9.617581963539123e-06,1.3535797146196828e-05,5,TensorBoard
7,OFF,-6.165355443954468e-06,8.938834071159363e-06,-2.6918016374111176e-05,-2.2631138563156128e-07,1.4528632164001465e-07,-4.845112562179565e-06,1.346468263714844e-05,5,TensorBoard
8,OFF,-2.5598332285881042e-05,6.752088665962219e-06,-6.713112816214561e-05,-4.140101373195648e-05,-5.4819509387016296e-05,-3.643957898020744e-05,2.8668195145870065e-05,5,TensorBoard
9,OFF,-4.497915506362915e-05,-4.796311259269714e-06,-5.3301453590393066e-05,-1.2017786502838135e-05,-2.9752030968666077e-05,-2.8969347476959227e-05,2.0740473835997956e-05,5,TensorBoard
10,OFF,-5.521392449736595e-05,-2.1074898540973663e-05,-7.019378244876862e-05,-4.573166370391846e-05,5.451962351799011e-06,-3.735246136784554e-05,2.9853697462835235e-05,5,TensorBoard
11,OFF,-8.587166666984558e-05,2.984609454870224e-05,-1.776963472366333e-05,-4.331115633249283e-05,-4.7497451305389404e-06,-2.437122166156769e-05,4.332760820180346e-05,5,TensorBoard
12,OFF,-1.3671815395355225e-05,-1.870281994342804e-05,-4.198495298624039e-05,-4.657171666622162e-05,-1.177564263343811e-05,-2.6541389524936675e-05,1.6468257728088263e-05,5,TensorBoard
13,OFF,-9.877793490886688e-05,-1.8715858459472656e-05,-1.1257361620664597e-05,3.269314765930176e-05,2.771615982055664e-06,-1.865727826952934e-05,4.891356041601706e-05,5,TensorBoard
14,OFF,5.9664249420166016e-05,-1.958198845386505e-05,3.4440308809280396e-06,-4.2881350964307785e-05,6.2016770243644714e-06,1.369323581457138e-06,3.815440375131312e-05,5,TensorBoard
15,OFF,-7.033534348011017e-05,-1.88387930393219e-05,-2.363976091146469e-05,2.1295621991157532e-05,-1.775287091732025e-05,-2.1854229271411895e-05,3.256313182939725e-05,5,TensorBoard
16,OFF,-1.4018267393112183e-05,-2.09929421544075e-05,-2.4877488613128662e-05,-7.405877113342285e-06,-7.489696145057678e-06,-1.4956854283809661e-05,7.882099887198202e-06,5,TensorBoard
17,OFF,-2.5488436222076416e-05,-1.0151416063308716e-06,-1.4126300811767578e-05,-2.7300789952278137e-05,-1.2949109077453613e-05,-1.6175955533981323e-05,1.0664756664872902e-05,5,TensorBoard
18,OFF,-7.311813533306122e-06,-6.066635251045227e-06,-1.7035752534866333e-05,9.815208613872528e-06,-1.9073486328125e-06,-4.501268267631531e-06,9.735922705363681e-06,5,TensorBoard
19,OFF,-1.255003735423088e-05,-1.8232502043247223e-05,-2.753082662820816e-05,-5.846284329891205e-05,1.1533498764038086e-05,-2.1048542112112046e-05,2.5414533235377858e-05,5,TensorBoard
20,OFF,-8.143484592437744e-06,-5.644373595714569e-05,-4.988908767700195e-05,3.1989067792892456e-05,-1.6819685697555542e-05,-1.9861385226249695e-05,3.561938344864428e-05,5,TensorBoard
21,OFF,-7.581897079944611e-06,2.021435648202896e-06,3.6189332604408264e-05,-9.005889296531677e-06,-9.313225746154785e-06,2.4619512259960175e-06,1.9421478808187424e-05,5,TensorBoard
